AREA,MONTH,YEAR,SEDIMENT,RAINFALL,FRACIONADO,DATA,EI30
SUP,6,2023,0.0,0.0,0.0,2023-06-01,0.0
SUP,7,2023,0.05833333333333333,222.6,0.05833333333333333,2023-07-01,478.9856221962273
SUP,8,2023,0.07166666666666667,116.8,0.013333333333333343,2023-08-01,131.59879208727065
SUP,9,2023,0.07733333333333334,46.2,0.005666666666666667,2023-09-01,19.158324386978368
SUP,10,2023,0.07833333333333332,36.4,0.000999999999999987,2023-10-01,11.313790299523475
SUP,11,2023,0.08666666666666666,0.0,0.008333333333333331,2023-11-01,0.0
SUP,12,2023,0.08466666666666667,21.8,-0.001999999999999988,2023-12-01,3.481893322441118
SUP,1,2024,0.10833333333333334,60.4,0.02366666666666667,2024-01-01,34.026425483320914
SUP,2,2024,0.14733333333333334,37.2,0.03900000000000001,2024-02-01,11.877754950853191
SUP,3,2024,0.36,162.2,0.21266666666666664,2024-03-01,254.26375879812227
SUP,4,2024,0.36333333333333334,156.0,0.003333333333333355,2024-04-01,235.1785996792788
SUP,5,2024,0.42833333333333334,396.8,0.065,2024-05-01,1522.0189840160308
SUP,6,2024,0.43566666666666665,341.2,0.007333333333333303,2024-06-01,1125.368555075663
SUP,7,2024,0.43866666666666665,149.6,0.0030000000000000027,2024-07-01,216.2536545948244
SUP,8,2024,0.44199999999999995,95.8,0.0033333333333332993,2024-08-01,88.1862170267549
SUP,9,2024,0.44333333333333336,5.8,0.0013333333333334085,2024-09-01,0.1499924252297998
SUP,10,2024,0.44300000000000006,19.0,-0.0003333333333332966,2024-10-01,2.5179566407758247
SUP,11,2024,0.44866666666666666,11.8,0.005666666666666598,2024-11-01,0.8087823300266948
SUP,12,2024,0.4506666666666666,13.8,0.0019999999999999463,2024-12-01,1.1760997797131405
SUP,1,2025,0.4613333333333333,80.0,0.010666666666666713,2025-01-01,61.05081484800688
SUP,2,2025,0.4756666666666666,34.0,0.014333333333333309,2025-02-01,9.704838876184134
SUP,3,2025,0.5,89.4,0.024333333333333373,2025-03-01,76.6227021575958
SUP,4,2025,0.5353333333333333,112.0,0.03533333333333333,2025-04-01,120.93582008954812
SUP,5,2025,0.48066666666666663,359.0,-0.0546666666666667,2025-05-01,1245.849652304757
MED,6,2023,0.0,0.0,0.0,2023-06-01,0.0
MED,7,2023,0.07033333333333334,222.6,0.07033333333333334,2023-07-01,478.9856221962273
MED,8,2023,0.12366666666666667,116.8,0.05333333333333333,2023-08-01,131.59879208727065
MED,9,2023,0.132,46.2,0.008333333333333331,2023-09-01,19.158324386978368
MED,10,2023,0.13366666666666668,36.4,0.0016666666666666774,2023-10-01,11.313790299523475
MED,11,2023,0.127,0.0,-0.006666666666666682,2023-11-01,0.0
MED,12,2023,0.137,21.8,0.010000000000000009,2023-12-01,3.481893322441118
MED,1,2024,0.15266666666666664,60.4,0.015666666666666634,2024-01-01,34.026425483320914
MED,2,2024,0.15,37.2,-0.0026666666666666505,2024-02-01,11.877754950853191
MED,3,2024,0.14866666666666667,162.2,-0.0013333333333333253,2024-03-01,254.26375879812227
MED,4,2024,0.15366666666666667,156.0,0.0050000000000000044,2024-04-01,235.1785996792788
MED,5,2024,0.33366666666666667,396.8,0.18,2024-05-01,1522.0189840160308
MED,6,2024,0.33866666666666667,341.2,0.0050000000000000044,2024-06-01,1125.368555075663
MED,7,2024,0.3496666666666666,149.6,0.010999999999999954,2024-07-01,216.2536545948244
MED,8,2024,0.354,95.8,0.004333333333333356,2024-08-01,88.1862170267549
MED,9,2024,0.352,5.8,-0.0020000000000000018,2024-09-01,0.1499924252297998
MED,10,2024,0.3516666666666666,19.0,-0.00033333333333335213,2024-10-01,2.5179566407758247
MED,11,2024,0.3636666666666667,11.8,0.012000000000000066,2024-11-01,0.8087823300266948
MED,12,2024,0.36300000000000004,13.8,-0.0006666666666666488,2024-12-01,1.1760997797131405
MED,1,2025,0.4093333333333334,80.0,0.04633333333333334,2025-01-01,61.05081484800688
MED,2,2025,0.42699999999999994,34.0,0.017666666666666553,2025-02-01,9.704838876184134
MED,3,2025,0.436,89.4,0.009000000000000064,2025-03-01,76.6227021575958
MED,4,2025,0.46766666666666673,112.0,0.03166666666666673,2025-04-01,120.93582008954812
MED,5,2025,0.2886666666666666,359.0,-0.1790000000000001,2025-05-01,1245.849652304757
INF,6,2023,0.0,0.0,0.0,2023-06-01,0.0
INF,7,2023,0.10366666666666667,222.6,0.10366666666666667,2023-07-01,478.9856221962273
INF,8,2023,0.14833333333333334,116.8,0.044666666666666674,2023-08-01,131.59879208727065
INF,9,2023,0.14800000000000002,46.2,-0.0003333333333333244,2023-09-01,19.158324386978368
INF,10,2023,0.14833333333333334,36.4,0.0003333333333333244,2023-10-01,11.313790299523475
INF,11,2023,0.14333333333333334,0.0,-0.0050000000000000044,2023-11-01,0.0
INF,12,2023,0.149,21.8,0.005666666666666653,2023-12-01,3.481893322441118
INF,1,2024,0.18333333333333332,60.4,0.03433333333333333,2024-01-01,34.026425483320914
INF,2,2024,0.22833333333333333,37.2,0.04500000000000001,2024-02-01,11.877754950853191
INF,3,2024,0.355,162.2,0.12666666666666665,2024-03-01,254.26375879812227
INF,4,2024,0.37733333333333335,156.0,0.02233333333333337,2024-04-01,235.1785996792788
INF,5,2024,0.39333333333333337,396.8,0.016000000000000014,2024-05-01,1522.0189840160308
INF,6,2024,0.397,341.2,0.0036666666666666514,2024-06-01,1125.368555075663
INF,7,2024,0.39666666666666667,149.6,-0.00033333333333335213,2024-07-01,216.2536545948244
INF,8,2024,0.39766666666666667,95.8,0.0010000000000000009,2024-08-01,88.1862170267549
INF,9,2024,0.39333333333333337,5.8,-0.0043333333333333,2024-09-01,0.1499924252297998
INF,10,2024,0.3953333333333333,19.0,0.0019999999999999463,2024-10-01,2.5179566407758247
INF,11,2024,0.3956666666666667,11.8,0.00033333333333340764,2024-11-01,0.8087823300266948
INF,12,2024,0.3943333333333333,13.8,-0.0013333333333334085,2024-12-01,1.1760997797131405
INF,1,2025,0.3943333333333333,80.0,0.0,2025-01-01,61.05081484800688
INF,2,2025,0.4116666666666666,34.0,0.01733333333333331,2025-02-01,9.704838876184134
INF,3,2025,0.42,89.4,0.00833333333333336,2025-03-01,76.6227021575958
INF,4,2025,0.44566666666666666,112.0,0.02566666666666667,2025-04-01,120.93582008954812
INF,5,2025,0.5056666666666666,359.0,0.05999999999999994,2025-05-01,1245.849652304757
